source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
reaction.ecocyc.DCTP-DEAM-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DCDPKIN-RXN,participates_in,ecocyc.PWY0-166,directed,database,EcoCyc,PWY0-166,EcoCyc pathway REACTION-LIST
reaction.ecocyc.PGLUCONDEHYDRAT-RXN,participates_in,ecocyc.ENTNER-DOUDOROFF-PWY,directed,database,EcoCyc,ENTNER-DOUDOROFF-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.KDPGALDOL-RXN,participates_in,ecocyc.ENTNER-DOUDOROFF-PWY,directed,database,EcoCyc,ENTNER-DOUDOROFF-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.ALANINE-AMINOTRANSFERASE-RXN,participates_in,ecocyc.ALANINE-SYN2-PWY,directed,database,EcoCyc,ALANINE-SYN2-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-12195,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.CDPREDUCT-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.UDPREDUCT-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DTDPKIN-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DTMPKI-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.THYMIDYLATESYN-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DUTP-PYROP-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DUDPKIN-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.DCDPKIN-RXN,participates_in,ecocyc.PWY-7184,directed,database,EcoCyc,PWY-7184,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-24044,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-24043,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN-15878,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.IPPISOM-RXN,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.RXN0-302,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.2.7.1.148-RXN,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
reaction.ecocyc.2.7.7.60-RXN,participates_in,ecocyc.NONMEVIPP-PWY,directed,database,EcoCyc,NONMEVIPP-PWY,EcoCyc pathway REACTION-LIST
