source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b0023,511145.b3318,protein.P0A7U7,protein.P0ADZ0,unique,unique,experimental,945,0.945,0.85,0.8032,991,0,0,0,597,945,0,634
511145.b0023,511145.b3317,protein.P0A7U7,protein.P60422,unique,unique,experimental,945,0.945,0.85,0.8032,984,0,0,0,510,945,0,468
511145.b0023,511145.b3649,protein.P0A7U7,protein.P0A800,unique,unique,experimental,809,0.809,0.85,0.6876,918,78,0,0,409,809,0,306
511145.b0023,511145.b4161,protein.P0A7U7,protein.P39286,unique,unique,experimental,819,0.819,0.85,0.6961,823,56,0,0,51,819,0,0
511145.b0023,511145.b3296,protein.P0A7U7,protein.P0A7V8,unique,unique,experimental,945,0.945,0.85,0.8032,998,0,0,0,832,945,720,495
511145.b0023,511145.b3316,protein.P0A7U7,protein.P0A7U3,unique,unique,experimental,945,0.945,0.85,0.8032,996,0,0,0,468,945,720,634
511145.b0023,511145.b0093,protein.P0A7U7,protein.P06136,unique,unique,experimental,800,0.800,0.85,0.6800,827,0,0,167,0,800,0,47
511145.b0023,511145.b2185,protein.P0A7U7,protein.P68919,unique,unique,experimental,945,0.945,0.85,0.8032,997,42,0,0,928,945,0,501
511145.b0023,511145.b3294,protein.P0A7U7,protein.P0AG44,unique,unique,experimental,945,0.945,0.85,0.8032,993,91,0,0,667,945,0,644
511145.b0023,511145.b3314,protein.P0A7U7,protein.P0A7V3,unique,unique,experimental,945,0.945,0.85,0.8032,995,0,0,0,521,945,720,500
511145.b0023,511145.b3703,protein.P0A7U7,protein.P0A7P5,unique,unique,experimental,945,0.945,0.85,0.8032,998,109,0,0,949,945,0,631
